,file,unique_albums
107,regional-us-weekly-2017-06-30--2017-07-07.csv,107
108,regional-us-weekly-2017-06-30--2017-07-07.csv,140
109,regional-us-weekly-2017-07-07--2017-07-14.csv,40
110,regional-us-weekly-2017-07-07--2017-07-14.csv,74
111,regional-us-weekly-2017-07-07--2017-07-14.csv,106
112,regional-us-weekly-2017-07-07--2017-07-14.csv,140
113,regional-us-weekly-2017-07-14--2017-07-21.csv,39
114,regional-us-weekly-2017-07-14--2017-07-21.csv,76
115,regional-us-weekly-2017-07-14--2017-07-21.csv,109
116,regional-us-weekly-2017-07-14--2017-07-21.csv,144
117,regional-us-weekly-2017-07-21--2017-07-28.csv,42
118,regional-us-weekly-2017-07-21--2017-07-28.csv,78
119,regional-us-weekly-2017-07-21--2017-07-28.csv,106
120,regional-us-weekly-2017-07-21--2017-07-28.csv,127
121,regional-us-weekly-2017-07-28--2017-08-04.csv,42
122,regional-us-weekly-2017-07-28--2017-08-04.csv,81
123,regional-us-weekly-2017-07-28--2017-08-04.csv,118
124,regional-us-weekly-2017-07-28--2017-08-04.csv,152
125,regional-us-weekly-2017-08-04--2017-08-11.csv,42
126,regional-us-weekly-2017-08-04--2017-08-11.csv,82
127,regional-us-weekly-2017-08-04--2017-08-11.csv,116
128,regional-us-weekly-2017-08-04--2017-08-11.csv,154
129,regional-us-weekly-2017-08-11--2017-08-18.csv,42
130,regional-us-weekly-2017-08-11--2017-08-18.csv,83
131,regional-us-weekly-2017-08-11--2017-08-18.csv,116
132,regional-us-weekly-2017-08-11--2017-08-18.csv,146
133,regional-us-weekly-2017-08-18--2017-08-25.csv,44
134,regional-us-weekly-2017-08-18--2017-08-25.csv,84
135,regional-us-weekly-2017-08-18--2017-08-25.csv,120
136,regional-us-weekly-2017-08-18--2017-08-25.csv,151
137,regional-us-weekly-2017-08-25--2017-09-01.csv,36
138,regional-us-weekly-2017-08-25--2017-09-01.csv,67
139,regional-us-weekly-2017-08-25--2017-09-01.csv,99
140,regional-us-weekly-2017-08-25--2017-09-01.csv,134
141,regional-us-weekly-2017-09-01--2017-09-08.csv,41
142,regional-us-weekly-2017-09-01--2017-09-08.csv,75
143,regional-us-weekly-2017-09-01--2017-09-08.csv,107
144,regional-us-weekly-2017-09-01--2017-09-08.csv,141
145,regional-us-weekly-2017-09-08--2017-09-15.csv,43
146,regional-us-weekly-2017-09-08--2017-09-15.csv,76
147,regional-us-weekly-2017-09-08--2017-09-15.csv,109
