,file,unique_albums
1,regional-us-weekly-2016-12-30--2017-01-06.csv,39
2,regional-us-weekly-2017-01-06--2017-01-13.csv,40
3,regional-us-weekly-2017-01-13--2017-01-20.csv,42
4,regional-us-weekly-2017-01-20--2017-01-27.csv,43
5,regional-us-weekly-2017-01-27--2017-02-03.csv,40
6,regional-us-weekly-2017-02-03--2017-02-10.csv,35
7,regional-us-weekly-2017-02-10--2017-02-17.csv,39
8,regional-us-weekly-2017-02-17--2017-02-24.csv,39
9,regional-us-weekly-2017-02-24--2017-03-03.csv,40
10,regional-us-weekly-2017-03-03--2017-03-10.csv,31
11,regional-us-weekly-2017-03-10--2017-03-17.csv,39
12,regional-us-weekly-2017-03-17--2017-03-24.csv,24
13,regional-us-weekly-2017-03-24--2017-03-31.csv,27
14,regional-us-weekly-2017-03-31--2017-04-07.csv,35
15,regional-us-weekly-2017-04-07--2017-04-14.csv,37
16,regional-us-weekly-2017-04-14--2017-04-21.csv,31
17,regional-us-weekly-2017-04-21--2017-04-28.csv,32
18,regional-us-weekly-2017-04-28--2017-05-05.csv,37
19,regional-us-weekly-2017-05-05--2017-05-12.csv,38
20,regional-us-weekly-2017-05-12--2017-05-19.csv,39
21,regional-us-weekly-2017-05-19--2017-05-26.csv,41
22,regional-us-weekly-2017-05-26--2017-06-02.csv,42
23,regional-us-weekly-2017-06-02--2017-06-09.csv,44
24,regional-us-weekly-2017-06-09--2017-06-16.csv,45
25,regional-us-weekly-2017-06-16--2017-06-23.csv,42
26,regional-us-weekly-2017-06-23--2017-06-30.csv,39
27,regional-us-weekly-2017-06-30--2017-07-07.csv,41
28,regional-us-weekly-2017-07-07--2017-07-14.csv,40
29,regional-us-weekly-2017-07-14--2017-07-21.csv,39
30,regional-us-weekly-2017-07-21--2017-07-28.csv,42
31,regional-us-weekly-2017-07-28--2017-08-04.csv,42
32,regional-us-weekly-2017-08-04--2017-08-11.csv,42
33,regional-us-weekly-2017-08-11--2017-08-18.csv,42
34,regional-us-weekly-2017-08-18--2017-08-25.csv,44
35,regional-us-weekly-2017-08-25--2017-09-01.csv,36
36,regional-us-weekly-2017-09-01--2017-09-08.csv,41
37,regional-us-weekly-2017-09-08--2017-09-15.csv,43
38,regional-us-weekly-2017-09-15--2017-09-22.csv,44
39,regional-us-weekly-2017-09-22--2017-09-29.csv,42
40,regional-us-weekly-2017-09-29--2017-10-06.csv,43
41,regional-us-weekly-2017-10-06--2017-10-13.csv,43
42,regional-us-weekly-2017-10-13--2017-10-20.csv,43
43,regional-us-weekly-2017-10-20--2017-10-27.csv,42
44,regional-us-weekly-2017-10-27--2017-11-03.csv,43
45,regional-us-weekly-2017-11-03--2017-11-10.csv,41
46,regional-us-weekly-2017-11-10--2017-11-17.csv,42
47,regional-us-weekly-2017-11-17--2017-11-24.csv,44
48,regional-us-weekly-2017-11-24--2017-12-01.csv,44
49,regional-us-weekly-2017-12-01--2017-12-08.csv,44
50,regional-us-weekly-2017-12-08--2017-12-15.csv,44
51,regional-us-weekly-2017-12-15--2017-12-22.csv,44
52,regional-us-weekly-2017-12-22--2017-12-29.csv,43
53,regional-us-weekly-2017-12-29--2018-01-05.csv,44
54,regional-us-weekly-2018-01-05--2018-01-12.csv,45
55,regional-us-weekly-2018-01-12--2018-01-19.csv,44
56,regional-us-weekly-2018-01-19--2018-01-26.csv,43
57,regional-us-weekly-2018-01-26--2018-02-02.csv,35
58,regional-us-weekly-2018-02-02--2018-02-09.csv,39
59,regional-us-weekly-2018-02-09--2018-02-16.csv,36
60,regional-us-weekly-2018-02-16--2018-02-23.csv,39
61,regional-us-weekly-2018-02-23--2018-03-02.csv,39
62,regional-us-weekly-2018-03-02--2018-03-09.csv,42
63,regional-us-weekly-2018-03-09--2018-03-16.csv,35
64,regional-us-weekly-2018-03-16--2018-03-23.csv,33
65,regional-us-weekly-2018-03-23--2018-03-30.csv,40
66,regional-us-weekly-2018-03-30--2018-04-06.csv,37
67,regional-us-weekly-2018-04-06--2018-04-13.csv,30
68,regional-us-weekly-2018-04-13--2018-04-20.csv,37
69,regional-us-weekly-2018-04-20--2018-04-27.csv,34
70,regional-us-weekly-2018-04-27--2018-05-04.csv,26
71,regional-us-weekly-2018-05-04--2018-05-11.csv,29
72,regional-us-weekly-2018-05-11--2018-05-18.csv,32
