,file,duration_ms
1,regional-us-weekly-2016-12-30--2017-01-06.csv,223089.325
2,regional-us-weekly-2017-01-06--2017-01-13.csv,223176.15
3,regional-us-weekly-2017-01-13--2017-01-20.csv,223589.425
4,regional-us-weekly-2017-01-20--2017-01-27.csv,222677.79
5,regional-us-weekly-2017-01-27--2017-02-03.csv,222723.22
6,regional-us-weekly-2017-02-03--2017-02-10.csv,221100.5
7,regional-us-weekly-2017-02-10--2017-02-17.csv,223118.155
8,regional-us-weekly-2017-02-17--2017-02-24.csv,223396.825
9,regional-us-weekly-2017-02-24--2017-03-03.csv,226753.56
10,regional-us-weekly-2017-03-03--2017-03-10.csv,225480.555
11,regional-us-weekly-2017-03-10--2017-03-17.csv,225084.595
12,regional-us-weekly-2017-03-17--2017-03-24.csv,222648.405
13,regional-us-weekly-2017-03-24--2017-03-31.csv,222155.27
14,regional-us-weekly-2017-03-31--2017-04-07.csv,221561.4
15,regional-us-weekly-2017-04-07--2017-04-14.csv,222777.32
16,regional-us-weekly-2017-04-14--2017-04-21.csv,224015.015
17,regional-us-weekly-2017-04-21--2017-04-28.csv,223088.975
18,regional-us-weekly-2017-04-28--2017-05-05.csv,223348.215
19,regional-us-weekly-2017-05-05--2017-05-12.csv,229710.34
20,regional-us-weekly-2017-05-12--2017-05-19.csv,224363.48
21,regional-us-weekly-2017-05-19--2017-05-26.csv,223027.85
22,regional-us-weekly-2017-05-26--2017-06-02.csv,220792.005
23,regional-us-weekly-2017-06-02--2017-06-09.csv,219198.69
24,regional-us-weekly-2017-06-09--2017-06-16.csv,221508.095
25,regional-us-weekly-2017-06-16--2017-06-23.csv,219059.76
26,regional-us-weekly-2017-06-23--2017-06-30.csv,220226.725
27,regional-us-weekly-2017-06-30--2017-07-07.csv,217784.6
28,regional-us-weekly-2017-07-07--2017-07-14.csv,221103.465
29,regional-us-weekly-2017-07-14--2017-07-21.csv,219171.075
30,regional-us-weekly-2017-07-21--2017-07-28.csv,218236.1
31,regional-us-weekly-2017-07-28--2017-08-04.csv,220452.19
32,regional-us-weekly-2017-08-04--2017-08-11.csv,218791.06
33,regional-us-weekly-2017-08-11--2017-08-18.csv,218837.42
34,regional-us-weekly-2017-08-18--2017-08-25.csv,217444.165
35,regional-us-weekly-2017-08-25--2017-09-01.csv,211918.17
36,regional-us-weekly-2017-09-01--2017-09-08.csv,210239.3
37,regional-us-weekly-2017-09-08--2017-09-15.csv,209584.94
38,regional-us-weekly-2017-09-15--2017-09-22.csv,211265.565
39,regional-us-weekly-2017-09-22--2017-09-29.csv,211701.24
40,regional-us-weekly-2017-09-29--2017-10-06.csv,212264.68
41,regional-us-weekly-2017-10-06--2017-10-13.csv,210045.66
42,regional-us-weekly-2017-10-13--2017-10-20.csv,211128.495
43,regional-us-weekly-2017-10-20--2017-10-27.csv,210778.885
44,regional-us-weekly-2017-10-27--2017-11-03.csv,212371.365
45,regional-us-weekly-2017-11-03--2017-11-10.csv,211619.68
46,regional-us-weekly-2017-11-10--2017-11-17.csv,213394.98
47,regional-us-weekly-2017-11-17--2017-11-24.csv,211457.265
48,regional-us-weekly-2017-11-24--2017-12-01.csv,209342.955
49,regional-us-weekly-2017-12-01--2017-12-08.csv,211205.845
50,regional-us-weekly-2017-12-08--2017-12-15.csv,212265.56
51,regional-us-weekly-2017-12-15--2017-12-22.csv,211616.55
52,regional-us-weekly-2017-12-22--2017-12-29.csv,203707.885
